0	1	8.29696e-08	0	2.51824e-06	-0	1.10011e-07	0	9.23268e-08	0	2.61646e-06	-0	1.20367e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	3.86833e-08	0	1.32249e-06	-0	5.65874e-08	0	4.96616e-08	0	1.36941e-06	-0	8.69081e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1.56027e-08	0	8.19997e-07	-0	1.68646e-08	0	1.7899e-08	0	9.02614e-07	0	1.83609e-08	-0	0	0	0	0	0	0	0	0	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
1	2	8.59869e-09	0	4.56088e-07	-0	9.87303e-09	0	1.07232e-08	0	5.02813e-07	-0	1.46722e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
2	1	9.14882e-09	6.51825e-14	5.46587e-07	-1.3942e-14	6.94068e-09	1.51164e-14	8.97981e-09	0	5.58331e-07	-0	9.4494e-09	0	0.000234512	8.48743e-07	3.14484e-06	-2.18961e-07	4.57229e-06	-9.12014e-09	0.000290925	1.25889e-06	3.04271e-06	-4.18449e-07	4.81974e-06	-1.54681e-08	0.000544945	3.37806e-07	0.000165471	-1.06754e-07	6.29707e-05	7.35117e-08	0.00085394	7.37902e-06	3.86336e-05	4.40071e-09	9.11871e-06	4.05989e-09
2	2	5.62551e-09	1.58586e-13	3.34901e-07	7.39734e-14	4.29042e-09	-8.00026e-14	5.57859e-09	0	3.44445e-07	-0	5.89337e-09	0	2.3252e-05	1.83193e-07	2.63306e-07	-1.2379e-08	2.00478e-07	4.10882e-10	6.97957e-05	7.18031e-07	7.26968e-07	-1.28616e-07	1.40563e-06	4.72654e-09	0.000361764	2.86666e-07	0.000103959	8.54835e-08	3.99937e-05	-5.89422e-08	0.000506422	5.05385e-06	1.26932e-05	5.86262e-09	1.78117e-05	-7.86082e-10
3	1	1.23441e-08	2.43227e-11	9.09317e-07	3.72665e-12	9.50622e-09	8.909e-12	1.12754e-08	1.89732e-11	9.35329e-07	1.84472e-12	-9.63197e-09	-9.70817e-12	4.57018e-05	2.99645e-05	8.59058e-05	-8.27113e-06	7.37093e-06	1.00767e-06	3.52115e-05	2.66148e-05	9.18948e-05	-5.58504e-06	6.02102e-06	-7.26853e-07	0.000203885	2.03788e-05	1.69044e-05	2.76434e-06	1.04329e-05	-8.67051e-07	0.000104164	1.17246e-05	8.77784e-06	1.29018e-06	5.46076e-06	-5.27698e-07
3	2	9.5843e-09	2.10743e-11	5.75363e-07	4.92574e-12	7.28639e-09	5.81601e-12	7.83385e-09	1.43982e-11	6.27851e-07	2.97872e-12	6.48332e-09	6.94666e-12	2.92565e-05	1.92343e-05	7.2468e-05	-3.46535e-06	-1.12852e-06	-2.6225e-06	1.82758e-05	2.57379e-05	7.46028e-05	-3.1919e-06	-7.69113e-07	-4.75217e-06	0.000131764	1.49405e-05	9.92963e-06	1.86791e-06	5.97518e-06	-5.53646e-07	6.63671e-05	8.75512e-06	5.29244e-06	9.07498e-07	-3.32379e-06	3.62252e-07
4	1	2.10215e-08	8.63012e-11	1.87887e-06	1.03773e-12	-1.67436e-08	-3.90937e-11	2.45063e-08	7.73342e-11	2.0297e-06	7.36943e-12	1.95319e-08	3.64688e-11	8.33787e-06	8.63582e-06	0.000174954	-1.61355e-06	6.20426e-07	-4.60355e-06	6.88329e-06	5.57631e-06	0.000161616	-1.70908e-06	1.85682e-06	1.46149e-06	0.000201748	3.23768e-05	1.54274e-05	-4.01633e-06	1.08347e-05	1.55371e-06	0.000136711	3.01767e-05	9.08236e-06	-3.32232e-06	6.92983e-06	1.43568e-06
4	2	1.6456e-08	8.29839e-11	1.40822e-06	-2.8848e-12	-1.30095e-08	3.62975e-11	1.83489e-08	6.86402e-11	1.49679e-06	7.6507e-12	-1.48052e-08	-3.27452e-11	3.87584e-06	4.70193e-06	0.000118053	-8.60958e-07	7.4036e-07	-2.12795e-06	8.60882e-06	2.73023e-06	8.42585e-05	-1.84858e-06	4.93272e-06	3.65649e-07	0.000162837	2.75275e-05	1.08917e-05	-3.76828e-06	8.65932e-06	1.29475e-06	7.40479e-05	1.91236e-05	4.80447e-06	-1.85846e-06	-3.48472e-06	-8.86116e-07
5	1	1.13332e-08	5.63503e-11	1.06705e-06	7.22435e-12	8.88344e-09	2.4007e-11	1.27836e-08	6.75901e-11	1.19101e-06	1.03845e-11	9.9802e-09	2.58043e-11	6.76924e-07	1.01611e-06	6.77679e-05	-1.71494e-07	2.30754e-07	-4.5328e-07	6.54223e-07	1.41987e-06	8.32341e-05	-1.66885e-07	4.0435e-07	-1.10611e-06	0.000110071	2.03029e-05	9.99551e-06	-2.66461e-06	-6.68529e-06	-1.09476e-06	5.76063e-05	1.08667e-05	4.83704e-06	-1.38992e-06	-3.39334e-06	-5.85412e-07
5	2	8.91266e-09	5.08968e-11	8.17265e-07	3.64197e-12	6.94955e-09	2.271e-11	1.01882e-08	6.15394e-11	9.25256e-07	8.58343e-12	7.87006e-09	2.20674e-11	1.97757e-07	7.6164e-07	3.3423e-05	-1.07929e-07	1.54299e-07	3.42158e-07	4.38833e-07	7.49936e-07	6.20904e-05	-1.37742e-07	3.20536e-07	-7.44068e-08	5.0156e-05	1.08834e-05	4.39795e-06	-9.96805e-07	-2.4817e-06	-5.11532e-07	3.86023e-05	8.19672e-06	2.9778e-06	-9.90025e-07	-2.07882e-06	-4.06905e-07
6	1	1.20501e-08	7.61801e-11	1.24194e-06	1.83779e-11	8.70108e-09	1.76704e-11	9.5401e-09	5.82646e-11	1.2936e-06	2.38713e-11	7.55061e-09	2.57545e-11	3.15891e-07	5.26627e-07	6.59427e-05	-6.57143e-08	-3.29324e-08	-3.30237e-07	7.66766e-07	2.38419e-07	2.91287e-05	-1.48204e-07	6.28157e-07	8.99737e-08	0.000103075	2.75735e-05	1.12369e-05	-3.58365e-06	-6.75689e-06	-1.54644e-06	5.40233e-05	1.43819e-05	6.0573e-06	-1.76395e-06	-3.67924e-06	-9.0414e-07
6	2	1.08982e-08	7.06998e-11	1.04495e-06	2.16117e-11	-7.82913e-09	-1.38034e-11	7.92984e-09	5.66697e-11	1.04003e-06	1.10224e-11	6.74817e-09	3.33939e-11	1.49817e-07	4.2283e-07	3.44973e-05	-8.93941e-08	1.18927e-07	4.21827e-07	2.82435e-07	4.77312e-07	5.40133e-05	-8.58168e-08	1.15454e-07	1.05572e-08	7.44216e-05	2.14545e-05	7.37083e-06	-2.68571e-06	4.5867e-06	1.1284e-06	3.88744e-05	1.12594e-05	3.92329e-06	-1.31753e-06	2.41676e-06	6.51483e-07
7	1	1.10037e-08	6.32429e-11	1.50306e-06	1.8034e-11	8.59408e-09	2.64147e-11	1.37391e-08	9.96576e-11	1.83455e-06	4.01143e-11	1.21396e-08	5.11084e-11	2.05645e-06	7.57082e-07	6.96993e-05	-8.55225e-07	1.53861e-07	-1.15377e-07	7.37063e-07	3.93253e-07	5.85149e-05	-2.23662e-07	8.1278e-07	2.59273e-07	0.000123329	2.91543e-05	1.65128e-05	-4.08291e-06	8.5019e-06	1.59118e-06	4.23139e-05	1.21472e-05	5.19928e-06	-9.55738e-07	2.25559e-06	6.35785e-07
7	2	1.04922e-08	6.23039e-11	1.31929e-06	2.46938e-11	7.43445e-09	1.79595e-11	1.349e-08	1.12054e-10	1.66572e-06	4.99711e-11	1.18156e-08	5.74891e-11	2.32532e-07	2.91571e-07	5.65682e-05	-8.15502e-08	1.76886e-07	2.34304e-07	1.69775e-07	1.08934e-06	3.76548e-05	-1.22511e-07	7.52612e-08	7.58977e-07	9.36133e-05	2.43713e-05	1.1713e-05	-3.26291e-06	-6.16257e-06	-1.27625e-06	4.99825e-05	1.46365e-05	5.46653e-06	-1.35098e-06	2.61542e-06	6.42764e-07
8	1	8.15845e-09	4.55081e-11	1.43156e-06	4.77227e-11	6.15338e-09	-8.50084e-12	1.09061e-08	6.46657e-11	1.6896e-06	8.06327e-11	6.98317e-09	-1.64821e-11	8.64734e-08	1.25779e-07	4.55199e-05	-3.05404e-08	7.70835e-08	1.26879e-07	1.55779e-07	2.07008e-07	5.04926e-05	-5.97096e-08	1.7596e-07	2.52676e-07	0.00013221	2.87512e-05	6.18085e-06	4.24342e-06	-5.12349e-06	9.18677e-07	4.3938e-05	1.0083e-05	2.22116e-06	-4.78919e-07	-1.1963e-06	-2.9931e-07
8	2	8.1689e-09	4.86689e-11	1.32803e-06	5.58935e-11	5.95312e-09	-1.60671e-11	1.04617e-08	6.57037e-11	1.55065e-06	8.06103e-11	6.64347e-09	-1.32619e-11	4.94514e-07	2.05033e-07	4.2852e-05	-1.75349e-07	3.97662e-07	3.13239e-08	9.52447e-08	1.79427e-07	4.92783e-05	-3.54125e-08	8.84836e-08	2.04176e-07	7.11915e-05	1.57059e-05	2.70503e-06	-9.51236e-07	-1.74327e-06	-3.98461e-07	5.12613e-05	1.26113e-05	2.49354e-06	-1.42574e-06	1.87608e-06	3.99955e-07
9	1	6.74256e-09	6.25717e-11	1.80068e-06	5.28316e-11	5.33495e-09	1.3672e-11	4.26781e-09	4.55119e-11	1.85223e-06	4.76789e-11	4.02711e-09	1.98049e-11	5.68739e-08	9.96462e-08	4.66979e-05	-2.0327e-08	2.06757e-08	4.70549e-08	1.24905e-08	4.718e-07	6.1415e-05	-1.92926e-08	2.07059e-08	1.56391e-07	0.000172129	3.47146e-05	3.27628e-06	-4.8743e-06	-3.9729e-06	-5.87115e-07	8.03413e-05	1.56695e-05	1.72505e-06	-2.11658e-06	2.085e-06	3.38802e-07
9	2	6.93181e-09	6.63499e-11	1.74713e-06	5.64613e-11	5.34e-09	1.42139e-11	4.03887e-09	4.62506e-11	1.79884e-06	-5.16096e-11	3.80059e-09	-1.65467e-11	5.64517e-08	1.30828e-07	4.39433e-05	-2.29721e-08	4.60362e-08	2.04583e-08	4.36739e-10	3.49715e-07	5.87542e-05	-2.18921e-09	2.97716e-09	1.54469e-07	0.000147944	3.0047e-05	2.83247e-06	-4.24324e-06	3.42525e-06	5.08672e-07	6.69452e-05	1.32983e-05	1.24305e-06	-1.75034e-06	1.5949e-06	2.60182e-07
10	1	2.39451e-09	3.03967e-11	2.5561e-06	2.25852e-11	3.61415e-09	5.57981e-11	1.65581e-09	1.98227e-11	2.92054e-06	2.01896e-11	3.05768e-09	4.71851e-11	6.61183e-08	9.7399e-08	5.83883e-05	-2.66041e-08	7.57872e-08	1.17197e-07	1.40644e-07	2.97696e-07	8.25788e-05	-6.12993e-08	7.95795e-08	2.12317e-07	0.000314746	4.81715e-05	1.47465e-06	-8.64364e-06	-4.04814e-06	-5.4974e-07	0.000120804	2.61076e-05	6.27394e-07	-2.26206e-06	1.2947e-06	2.43379e-07
10	2	2.59093e-09	3.21922e-11	2.49583e-06	2.87415e-11	3.51834e-09	5.37416e-11	2.06252e-09	2.51204e-11	3.10478e-06	3.06401e-11	3.43017e-09	4.57142e-11	4.50566e-08	9.61114e-08	5.92411e-05	-1.73248e-08	3.97269e-08	1.01082e-07	1.42156e-07	2.66586e-07	8.19862e-05	-5.52821e-08	6.64586e-08	1.48466e-07	0.00017102	2.46424e-05	7.96615e-07	-1.19407e-06	1.27631e-06	1.87504e-07	0.000133831	2.92304e-05	6.8687e-07	-4.00791e-06	1.47963e-06	2.70211e-07
