0	1	1.56974e-08	0	5.30578e-07	-0	2.14016e-08	0	1.56974e-08	0	5.30578e-07	-0	2.14016e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	9.48952e-09	0	3.22706e-07	-0	1.38039e-08	0	9.48952e-09	0	3.22706e-07	-0	1.38039e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	3.31699e-09	0	1.8248e-07	-0	3.62699e-09	0	3.31699e-09	0	1.8248e-07	-0	3.62699e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
1	2	2.01313e-09	0	1.11044e-07	-0	2.2118e-09	0	2.01313e-09	0	1.11044e-07	-0	2.2118e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
2	1	1.9514e-09	5.47331e-14	1.24099e-07	-4.96802e-15	1.5059e-09	5.41809e-15	1.9514e-09	5.47331e-14	1.24099e-07	-4.96802e-15	1.5059e-09	5.41809e-15	5.60464e-05	9.20346e-07	7.62199e-07	-2.49398e-07	1.48769e-06	1.88058e-09	4.5843e-05	7.13495e-07	6.36409e-07	-1.70332e-07	1.24804e-06	5.42681e-09	0.000180212	1.33331e-07	2.59614e-05	-3.66327e-08	1.47062e-05	2.06462e-08	0.000180212	1.33331e-07	2.59614e-05	-3.66327e-08	1.47062e-05	2.06462e-08
2	2	1.19192e-09	2.43913e-14	7.64094e-08	1.51993e-15	9.18469e-10	-1.67313e-15	1.19192e-09	2.43913e-14	7.64094e-08	1.51993e-15	9.18469e-10	-1.67313e-15	3.66931e-05	2.62282e-07	4.76466e-07	-7.36604e-08	9.21261e-07	1.14153e-09	3.60311e-05	5.83046e-07	4.674e-07	-1.61472e-07	9.21396e-07	5.95974e-10	0.000113457	8.33068e-08	1.6054e-05	2.21876e-08	9.11559e-06	-1.24631e-08	0.000113457	8.33068e-08	1.6054e-05	2.21876e-08	9.11559e-06	-1.24631e-08
3	1	2.60449e-09	5.10389e-12	2.15755e-07	1.33504e-12	2.09892e-09	2.00581e-12	2.60449e-09	5.10389e-12	2.15755e-07	1.33504e-12	2.09892e-09	2.00581e-12	1.16488e-05	7.60721e-06	2.65538e-05	-2.11622e-06	2.0756e-06	4.67078e-07	1.1588e-05	7.60171e-06	2.65411e-05	-2.10829e-06	2.0657e-06	4.70633e-07	3.32023e-05	3.75383e-06	2.6697e-06	-4.42919e-07	1.60119e-06	1.53521e-07	3.32023e-05	3.75383e-06	2.6697e-06	-4.42919e-07	1.60119e-06	1.53521e-07
3	2	1.62853e-09	3.27494e-12	1.35884e-07	8.03632e-13	1.34088e-09	1.39777e-12	1.62853e-09	3.27494e-12	1.35884e-07	8.03632e-13	1.34088e-09	1.39777e-12	7.06725e-06	4.68477e-06	1.66472e-05	-1.29834e-06	1.278e-06	3.03082e-07	7.10017e-06	4.68767e-06	1.66513e-05	-1.30492e-06	1.2829e-06	3.01037e-07	2.06068e-05	2.37244e-06	1.63599e-06	2.77869e-07	-9.87433e-07	9.66982e-08	2.06068e-05	2.37244e-06	1.63599e-06	2.77869e-07	-9.87433e-07	9.66982e-08
4	1	5.53998e-09	2.12035e-11	4.93843e-07	1.07354e-12	-4.56539e-09	-1.00163e-11	5.53998e-09	2.12035e-11	4.93843e-07	1.07354e-12	-4.56539e-09	-1.00163e-11	1.51348e-06	1.97757e-06	5.28526e-05	-2.85016e-07	1.35151e-07	-1.12429e-06	0.00543832	8.82345e-06	9.48758e-05	-0.000205391	0.000560116	-2.10553e-05	4.52619e-05	9.44795e-06	3.03023e-06	1.17451e-06	-2.33134e-06	4.35625e-07	4.52619e-05	9.44795e-06	3.03023e-06	1.17451e-06	-2.33134e-06	4.35625e-07
4	2	3.55169e-09	1.39637e-11	3.10116e-07	7.70731e-13	-2.90214e-09	-6.27137e-12	3.55169e-09	1.39637e-11	3.10116e-07	7.70731e-13	-2.90214e-09	-6.27137e-12	2.04828e-08	2.15161e-06	2.16139e-05	-1.18912e-08	3.41854e-08	3.04256e-07	7.06287e-08	1.17854e-06	3.28216e-05	2.00879e-08	-1.06944e-07	-5.03819e-07	1.91618e-05	4.25844e-06	1.29671e-06	-4.04704e-07	-8.47498e-07	-1.77418e-07	2.43323e-05	5.26749e-06	1.60996e-06	-5.91146e-07	1.21097e-06	2.4391e-07
