0	1	3.23938e-07	0	1.06195e-05	-0	4.37049e-07	0	3.44819e-07	0	1.12332e-05	-0	4.24871e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	1.51952e-07	0	5.56999e-06	-0	2.22346e-07	0	1.55429e-07	0	5.85023e-06	-0	2.15294e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	5.57628e-08	0	3.32827e-06	-0	6.58007e-08	0	6.37014e-08	0	3.71376e-06	0	6.44486e-08	-0	0	0	0	0	0	0	0	0	0	0	0	0	2.2939e+30	0	0.0300318	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan
1	2	3.10377e-08	0	1.86804e-06	-0	3.93578e-08	0	3.46167e-08	0	2.07421e-06	-0	3.61328e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
2	1	3.56463e-08	0	2.27444e-06	0	3.5489e-08	-0	3.49367e-08	0	2.3116e-06	0	3.31508e-08	-0	0.00161211	2.79277e-06	4.38722e-06	-1.14433e-06	2.20579e-05	-1.44906e-08	0.000922512	4.62029e-06	1.79483e-05	-1.00365e-06	1.42893e-05	-1.24435e-07	0.00265591	0	0.000672208	0	2.10733e-06	0	0.00408161	0	0.000240554	0	-0.00020603	0
2	2	2.2652e-08	0	1.4198e-06	-0	2.34476e-08	0	2.17731e-08	0	1.42151e-06	-0	2.21945e-08	0	0.000773866	3.3524e-06	5.69828e-06	-1.74011e-08	1.29375e-07	-1.91749e-07	0.000629487	3.05813e-06	9.27175e-06	-1.02206e-06	1.43585e-05	-1.80822e-08	0.00145942	0	0.000436034	0	9.03827e-07	0	0.00275371	0	0.000169408	0	2.90003e-05	0
3	1	4.5261e-08	9.18587e-11	3.85816e-06	1.79131e-11	-3.61033e-08	-3.05214e-11	3.79838e-08	9.68642e-11	3.48012e-06	4.24361e-12	3.02952e-08	3.40104e-11	0.000221582	0.000153274	0.000396122	-2.29856e-05	1.59459e-05	-3.04384e-05	0.000141182	8.59275e-05	0.00034906	-2.64888e-05	2.79163e-05	1.55703e-05	0.000973183	0.000118617	8.2074e-05	7.8794e-06	2.78943e-05	-2.55327e-06	0.00045177	5.39594e-05	2.99079e-05	-6.25981e-06	2.28657e-05	2.45434e-06
3	2	3.00222e-08	7.09918e-11	2.58237e-06	6.00089e-12	-2.46891e-08	-3.02466e-11	2.72715e-08	7.03616e-11	2.38767e-06	6.42399e-12	2.20347e-08	2.56296e-11	0.000129047	7.89974e-05	0.000237611	-2.24157e-05	1.95218e-05	3.87884e-06	7.73307e-05	5.15771e-05	0.000228232	-1.5896e-05	1.78452e-05	1.10083e-05	0.000594903	8.6493e-05	4.44089e-05	6.38639e-06	-1.92962e-05	2.1105e-06	0.000284371	3.95632e-05	1.92757e-05	4.23521e-06	-1.42853e-05	1.70222e-06
4	1	3.93495e-08	2.84895e-10	5.60693e-06	3.75912e-11	-3.23725e-08	-1.05486e-10	5.74185e-08	2.47601e-10	6.70617e-06	7.47755e-11	4.65093e-08	6.48644e-11	4.01974e-05	2.73732e-05	0.00062182	-3.50424e-06	-1.53559e-06	-1.25113e-05	1.07659e-05	9.10799e-06	0.000605643	-1.86953e-06	-1.12357e-06	2.46884e-07	0.00112054	0.000178028	0.000102883	-2.36008e-05	-6.10407e-05	-8.5655e-06	0.000620809	0.000130274	5.75369e-05	1.51483e-05	3.89427e-05	-7.6157e-06
4	2	2.90062e-08	2.67394e-10	4.31639e-06	-4.02896e-11	2.5082e-08	-1.12974e-10	4.46575e-08	2.27362e-10	5.47849e-06	5.30284e-11	3.87574e-08	8.3251e-11	1.58566e-05	1.48972e-05	0.000453388	1.06929e-06	-1.93923e-06	9.1341e-06	9.80236e-06	7.49609e-06	0.000387209	-2.43682e-06	4.07131e-06	3.24797e-06	0.000770145	0.000135545	5.27461e-05	-1.73537e-05	3.48315e-05	5.43831e-06	0.00040079	9.48411e-05	3.51582e-05	-1.06461e-05	-2.38985e-05	-5.48148e-06
5	1	3.89786e-08	1.88816e-10	4.45449e-06	3.01182e-11	-3.24125e-08	-9.34451e-11	4.7499e-08	2.54473e-10	4.90321e-06	1.65842e-11	3.86737e-08	1.15077e-10	1.93059e-07	2.99824e-06	0.000212908	-5.36384e-08	8.04604e-08	1.76053e-07	5.6639e-07	6.04001e-07	0.000340231	-1.47224e-07	-6.90115e-09	2.23329e-08	0.000478668	9.69542e-05	3.76036e-05	-1.07031e-05	-2.60651e-05	-4.79493e-06	0.000267386	5.40722e-05	2.76431e-05	-6.69248e-06	-1.71366e-05	-2.99188e-06
5	2	3.14473e-08	1.81382e-10	3.50942e-06	-3.07217e-12	2.68868e-08	1.00288e-10	3.7261e-08	2.34674e-10	3.85379e-06	-1.8205e-11	-3.21422e-08	-1.31465e-10	4.81048e-09	2.01513e-06	0.000162534	-6.82908e-09	1.0699e-08	2.48957e-07	1.93023e-07	2.35099e-07	0.000253894	-5.72551e-08	2.92082e-07	5.94372e-08	0.000314186	6.82992e-05	2.46905e-05	-7.12347e-06	1.66163e-05	3.41068e-06	0.00018253	4.05497e-05	1.67635e-05	-4.67605e-06	-9.98964e-06	-1.8373e-06
6	1	4.26882e-08	2.81087e-10	4.72072e-06	5.93138e-11	3.21129e-08	9.67121e-11	3.84135e-08	2.60017e-10	5.77034e-06	5.82844e-11	3.23527e-08	1.05701e-10	6.15732e-07	9.48677e-07	0.000209357	-2.01802e-07	1.00396e-06	1.11786e-06	5.23616e-07	6.53833e-07	0.000280729	-1.66583e-07	4.53088e-07	5.8674e-07	0.00047724	0.000124629	5.4625e-05	-1.74837e-05	3.4927e-05	7.9174e-06	0.000232937	6.62183e-05	3.80666e-05	-7.97585e-06	-1.76475e-05	-4.62704e-06
